time,pop_capacity,pop_count,pop_updated,upw_capacity,upw_count,upw_updated,fre_capacity,fre_count,fre_updated
2021-04-04 18:30:02.522591,280,80,6:29 PM,56,6,6:29 PM,144,74,6:30 PM
2021-04-04 18:45:01.855047,280,74,6:45 PM,56,6,6:43 PM,144,78,6:44 PM
2021-04-04 19:00:01.798293,280,73,6:59 PM,56,5,6:58 PM,144,71,6:58 PM
2021-04-04 19:15:01.561300,280,70,7:14 PM,56,3,7:14 PM,144,61,7:14 PM
2021-04-04 19:30:01.560999,280,51,7:29 PM,56,0,7:28 PM,144,51,7:29 PM
2021-04-04 19:45:02.476987,280,58,7:44 PM,56,0,7:43 PM,144,52,7:44 PM
2021-04-04 20:00:01.588064,280,62,7:59 PM,56,1,7:59 PM,144,51,7:59 PM
2021-04-04 20:15:01.048915,280,61,8:14 PM,56,1,8:10 PM,144,40,8:14 PM
2021-04-04 20:30:02.228027,280,56,8:29 PM,56,1,8:28 PM,144,43,8:28 PM
2021-04-04 20:45:02.235914,280,44,8:44 PM,56,1,8:44 PM,144,48,8:44 PM
2021-04-04 21:00:00.927204,280,48,8:57 PM,56,1,8:50 PM,144,48,8:55 PM
2021-04-04 21:15:00.807040,280,43,9:13 PM,56,1,9:10 PM,144,48,9:14 PM
2021-04-04 21:30:02.399682,280,42,9:22 PM,56,1,9:20 PM,144,46,9:29 PM
2021-04-04 21:45:02.098782,280,37,9:40 PM,56,1,9:41 PM,144,35,9:44 PM
2021-04-04 22:00:02.026109,280,22,9:58 PM,56,1,9:58 PM,144,19,9:59 PM
2021-04-04 22:15:02.355571,280,13,10:13 PM,56,1,10:10 PM,144,16,10:13 PM
2021-04-04 22:30:01.902713,280,11,10:20 PM,56,0,10:20 PM,144,16,10:28 PM
2021-04-04 22:45:03.244470,280,7,10:41 PM,56,0,10:41 PM,144,16,10:41 PM
2021-04-04 23:00:01.860211,280,5,10:51 PM,56,0,10:50 PM,144,14,10:58 PM
2021-04-04 23:15:02.361653,280,4,11:11 PM,56,0,11:11 PM,144,7,11:11 PM
2021-04-04 23:30:02.028560,280,1,11:20 PM,56,0,11:20 PM,144,3,11:28 PM
2021-04-04 23:45:01.455036,280,0,11:42 PM,56,0,11:40 PM,144,2,11:41 PM
2021-04-05 00:00:02.330867,280,0,11:51 PM,56,0,11:50 PM,144,0,11:51 PM
2021-04-05 00:15:01.291440,280,0,12:10 AM,56,0,12:10 AM,144,0,12:11 AM
2021-04-05 00:30:02.091389,280,0,12:21 AM,56,0,12:20 AM,144,0,12:21 AM
2021-04-05 00:45:01.644794,280,0,12:40 AM,56,0,12:41 AM,144,0,12:43 AM
2021-04-05 01:00:03.067049,280,0,12:51 AM,56,0,12:50 AM,144,0,12:51 AM
2021-04-05 01:15:01.985244,280,0,1:10 AM,56,0,1:10 AM,144,0,1:10 AM
2021-04-05 01:30:01.894660,280,0,1:20 AM,56,0,1:20 AM,144,0,1:20 AM
2021-04-05 01:45:02.444359,280,0,1:40 AM,56,0,1:40 AM,144,0,1:40 AM
2021-04-05 02:00:05.140333,280,0,2:00 AM,56,0,2:00 AM,144,0,2:00 AM
2021-04-05 02:15:02.053397,280,0,2:10 AM,56,0,2:10 AM,144,0,2:11 AM
2021-04-05 02:30:01.987258,280,0,2:20 AM,56,0,2:20 AM,144,0,2:20 AM
2021-04-05 02:45:01.895678,280,0,2:40 AM,56,0,2:40 AM,144,0,2:41 AM
2021-04-05 03:00:01.754818,280,0,2:58 AM,56,0,2:50 AM,144,0,2:50 AM
2021-04-05 03:15:02.268471,280,0,3:11 AM,56,0,3:10 AM,144,0,3:10 AM
2021-04-05 03:30:01.958276,280,0,3:20 AM,56,0,3:20 AM,144,0,3:21 AM
2021-04-05 03:45:01.612624,280,0,3:40 AM,56,0,3:41 AM,144,0,3:40 AM
2021-04-05 04:00:02.304490,280,0,3:50 AM,56,0,3:50 AM,144,0,3:50 AM
2021-04-05 04:15:01.905390,280,0,4:10 AM,56,0,4:10 AM,144,0,4:10 AM
2021-04-05 04:30:01.711188,280,0,4:21 AM,56,0,4:20 AM,144,0,4:20 AM
2021-04-05 04:45:02.504932,280,0,4:40 AM,56,0,4:40 AM,144,0,4:40 AM
2021-04-05 05:00:10.041090,280,0,4:50 AM,56,0,5:00 AM,144,0,5:00 AM
2021-04-05 05:15:01.715265,280,0,5:10 AM,56,0,5:14 AM,144,0,5:10 AM
2021-04-05 05:30:02.492086,280,0,5:25 AM,56,0,5:25 AM,144,0,5:25 AM
2021-04-05 05:45:02.310143,280,0,5:44 AM,56,0,5:40 AM,144,0,5:44 AM
2021-04-05 06:00:02.223305,280,0,5:59 AM,56,0,5:50 AM,144,2,5:59 AM
2021-04-05 06:15:01.986659,280,15,6:13 AM,56,0,6:10 AM,144,8,6:13 AM
2021-04-05 06:30:02.195939,280,22,6:29 AM,56,0,6:21 AM,144,10,6:29 AM
2021-04-05 06:45:02.016710,280,27,6:44 AM,56,0,6:40 AM,144,21,6:44 AM
2021-04-05 07:00:04.738291,280,29,7:00 AM,56,0,6:51 AM,144,23,6:58 AM
2021-04-05 07:15:02.399967,280,34,7:14 AM,56,0,7:10 AM,144,26,7:13 AM
2021-04-05 07:30:01.930374,280,36,7:29 AM,56,0,7:20 AM,144,24,7:29 AM
2021-04-05 07:45:02.276472,280,34,7:42 AM,56,0,7:40 AM,144,29,7:44 AM
2021-04-05 08:00:01.980624,280,37,7:58 AM,56,0,7:50 AM,144,29,7:58 AM
